Student_ID,Gender,Age,Grade_Level,Attendance,Study_Hours_Per_Day,Previous_GPA,Midterm_Score,Assignment_Score,Quiz_Score,Final_Exam_Score,Class_Participation,Extracurricular,Internet_Access,Parent_Education,Family_Income,Sleep_Hours,Screen_Time,Stress_Level,Teacher_Feedback,Absences,Final_Result,Performance
632,Male,20,College-2,68,6.3,3.45,100,71,79,89,High,No,No,Graduate,Medium,7.7,6.1,Low,Good,13,Pass,Excellent
633,Female,20,12,99,1.7,3.13,100,66,91,81,Medium,Yes,Yes,High School,High,5.8,3.4,High,Average,6,Pass,Good
634,Female,22,12,77,4.6,2.2,85,56,65,73,Low,Yes,No,Graduate,High,7.1,5.3,Low,Average,11,Pass,Good
635,Male,15,12,92,3.0,3.02,96,51,66,71,Low,No,Yes,Graduate,High,4.9,4.9,Medium,Excellent,7,Pass,Good
636,Female,16,10,83,1.9,3.43,96,55,80,72,Medium,Yes,No,High School,High,6.5,7.4,Low,Poor,10,Pass,Good
637,Male,20,10,70,2.1,3.47,94,45,62,65,High,Yes,Yes,High School,Low,6.0,4.2,High,Excellent,13,Pass,Average
638,Male,18,9,64,5.7,3.63,100,59,75,82,Medium,Yes,No,Postgraduate,High,5.7,2.1,Low,Average,14,Pass,Good
639,Male,19,10,52,3.9,3.17,100,46,80,70,Medium,No,No,Postgraduate,Medium,5.7,3.7,High,Good,17,Pass,Good
640,Male,21,9,84,4.4,3.76,100,67,89,85,Low,No,No,Postgraduate,Low,4.9,1.8,Medium,Excellent,9,Pass,Excellent
641,Female,19,College-1,95,1.9,3.73,100,60,79,83,Low,No,Yes,Postgraduate,Medium,8.5,6.9,Medium,Good,7,Pass,Good
642,Male,19,12,76,3.7,3.82,100,61,79,79,Medium,Yes,Yes,Postgraduate,Low,6.5,3.8,High,Poor,11,Pass,Good
643,Female,16,College-2,89,5.3,3.9,100,73,80,88,Low,Yes,No,Postgraduate,Low,5.1,4.8,Low,Excellent,8,Pass,Excellent
644,Male,15,College-1,95,2.6,2.66,88,67,76,82,Low,No,No,High School,Low,8.1,7.4,Medium,Good,7,Pass,Good
645,Female,16,9,51,2.6,2.54,72,40,60,58,Low,No,Yes,High School,High,8.0,2.7,High,Average,18,Pass,Average
646,Male,19,11,56,6.2,3.21,100,59,84,79,Medium,Yes,Yes,Graduate,High,8.1,2.4,High,Excellent,16,Pass,Good
647,Female,15,12,74,3.0,3.12,100,51,83,78,High,No,No,Postgraduate,High,4.9,7.8,Low,Excellent,12,Pass,Good
648,Female,17,College-2,64,5.0,2.89,100,65,77,82,Low,Yes,Yes,High School,Medium,4.6,6.4,High,Average,14,Pass,Good
649,Female,21,11,55,2.0,3.45,100,35,60,61,High,No,Yes,High School,Medium,7.3,4.3,High,Excellent,17,Pass,Average
650,Female,22,College-1,50,2.9,2.98,94,39,65,63,High,Yes,Yes,Graduate,High,5.4,4.9,Low,Excellent,18,Pass,Average
651,Female,17,College-2,58,6.3,2.33,94,53,66,74,High,No,Yes,Postgraduate,High,5.2,6.2,Medium,Excellent,16,Pass,Good
652,Male,17,11,50,3.1,3.84,100,46,75,70,High,Yes,No,Postgraduate,High,6.5,3.1,Medium,Excellent,18,Pass,Good
653,Male,20,12,79,2.5,3.99,100,47,81,72,Low,Yes,No,High School,Low,6.0,6.2,Medium,Average,11,Pass,Good
654,Female,18,11,62,5.9,2.12,89,69,76,83,High,Yes,Yes,Graduate,Medium,6.9,3.3,Medium,Good,15,Pass,Good
655,Male,19,10,73,5.4,3.08,100,55,73,84,Medium,Yes,Yes,Postgraduate,High,6.3,2.8,High,Excellent,12,Pass,Good
656,Male,18,10,71,5.0,3.93,100,65,80,85,Low,Yes,Yes,High School,Medium,8.3,5.2,Low,Good,13,Pass,Excellent
657,Male,18,College-1,54,7.3,2.88,100,63,82,81,Medium,No,No,Postgraduate,Medium,4.7,4.6,Medium,Good,17,Pass,Good
658,Female,22,12,83,3.2,2.43,82,67,74,77,High,No,Yes,Postgraduate,Medium,4.9,5.2,High,Good,10,Pass,Good
659,Female,17,College-2,61,1.2,3.34,96,35,63,60,Low,Yes,No,Graduate,High,6.1,4.3,Low,Poor,15,Pass,Average
660,Female,22,12,87,3.2,2.51,79,68,73,78,Low,No,No,Postgraduate,Low,4.9,3.6,High,Poor,9,Pass,Good
661,Female,15,College-1,95,7.5,2.98,100,95,92,100,High,Yes,Yes,High School,Low,9.0,5.4,Medium,Poor,7,Pass,Excellent
662,Female,17,College-1,53,4.1,3.72,100,43,63,69,High,No,Yes,Postgraduate,Medium,7.7,3.2,Medium,Poor,17,Pass,Average
663,Male,21,10,54,2.4,2.53,73,43,51,55,High,Yes,No,Graduate,High,7.9,2.0,Medium,Poor,17,Pass,Average
664,Male,17,11,71,4.3,3.86,100,50,69,78,High,Yes,Yes,High School,Low,8.3,1.6,High,Good,13,Pass,Good
665,Male,21,College-2,79,1.6,3.67,100,43,67,70,Medium,Yes,No,High School,High,7.8,2.7,Medium,Excellent,11,Pass,Good
666,Female,20,College-1,64,6.8,3.96,100,70,85,91,Medium,No,No,Postgraduate,High,5.7,2.4,Low,Poor,14,Pass,Excellent
667,Female,19,9,87,3.7,3.4,100,72,87,87,High,Yes,No,High School,Medium,6.9,2.5,Medium,Poor,9,Pass,Excellent
668,Female,16,College-2,57,4.6,2.93,97,52,78,80,Medium,Yes,Yes,Graduate,Medium,7.3,4.3,Medium,Good,16,Pass,Good
669,Female,21,College-2,91,7.3,2.33,100,77,80,91,Medium,No,Yes,Graduate,High,5.3,3.5,Medium,Good,8,Pass,Excellent
670,Female,21,College-1,80,5.7,3.75,100,61,85,84,Low,Yes,Yes,Graduate,High,5.9,7.8,High,Average,10,Pass,Good
671,Female,21,10,86,6.3,3.92,100,73,82,90,Medium,Yes,Yes,High School,Low,5.1,3.3,Medium,Good,9,Pass,Excellent
672,Female,17,11,55,2.3,3.45,92,46,72,70,Low,No,No,Postgraduate,Low,8.4,4.1,Medium,Excellent,17,Pass,Good
673,Female,21,College-1,79,5.9,2.26,87,71,81,84,Low,No,No,Postgraduate,High,7.9,1.7,High,Poor,11,Pass,Good
674,Male,17,12,64,7.2,2.72,100,58,83,89,Low,Yes,Yes,Graduate,Medium,5.3,2.6,Low,Good,14,Pass,Excellent
675,Male,17,12,74,5.6,2.77,100,56,78,80,High,Yes,No,High School,Medium,6.4,3.0,High,Poor,12,Pass,Good
676,Male,22,College-2,91,7.0,2.64,100,86,97,96,High,No,No,High School,Medium,8.1,1.1,Medium,Good,8,Pass,Excellent
677,Female,16,10,97,5.4,2.9,100,80,92,90,Medium,No,Yes,High School,Low,7.2,6.6,Medium,Good,6,Pass,Excellent
678,Female,22,11,62,4.6,2.87,100,53,69,79,Low,No,No,Graduate,Medium,7.3,7.1,High,Good,15,Pass,Good
679,Male,16,11,99,6.7,2.71,100,87,95,100,High,Yes,No,High School,Low,6.9,2.3,Low,Poor,6,Pass,Excellent
680,Female,15,9,58,6.1,2.55,99,68,82,80,Medium,No,Yes,High School,High,7.3,4.0,High,Poor,16,Pass,Good
681,Male,19,College-2,74,4.6,3.27,100,63,85,88,High,Yes,No,High School,Low,7.8,3.4,High,Good,12,Pass,Excellent
682,Female,19,College-2,69,5.3,3.39,100,62,88,86,High,Yes,No,Postgraduate,High,6.9,6.6,Low,Excellent,13,Pass,Excellent
683,Female,20,9,61,5.7,2.04,85,53,69,73,Low,Yes,Yes,Postgraduate,Medium,5.7,3.9,Low,Poor,15,Pass,Good
684,Female,22,College-1,89,3.0,3.18,100,68,86,80,Low,No,No,Graduate,Medium,7.7,6.8,Medium,Average,8,Pass,Good
685,Male,22,College-1,79,7.0,2.34,100,72,90,96,Medium,Yes,Yes,Postgraduate,High,6.7,4.7,Medium,Good,11,Pass,Excellent
686,Female,15,11,68,6.3,2.31,100,60,83,83,High,No,Yes,Graduate,High,6.5,4.3,Low,Excellent,13,Pass,Good
687,Male,21,College-1,88,7.6,2.42,98,90,95,100,Medium,No,Yes,Graduate,High,5.1,3.8,Medium,Good,8,Pass,Excellent
688,Female,18,12,99,3.5,3.92,100,67,91,83,Medium,No,No,Graduate,Low,5.0,7.2,Low,Excellent,6,Pass,Good
689,Female,18,College-2,68,1.0,3.31,86,41,68,60,Low,Yes,Yes,Postgraduate,High,8.2,6.3,High,Poor,13,Pass,Average
690,Female,15,College-2,88,5.0,3.22,100,77,95,95,High,No,Yes,High School,Medium,6.3,1.2,Medium,Average,8,Pass,Excellent
691,Female,18,College-2,61,4.3,2.27,74,42,56,58,High,No,Yes,High School,Medium,7.7,2.4,High,Poor,15,Pass,Average
692,Female,21,9,88,6.9,2.49,96,68,75,86,Medium,No,Yes,Postgraduate,High,8.4,7.4,High,Poor,8,Pass,Excellent
693,Female,21,9,78,4.4,2.8,89,62,79,74,Low,Yes,No,Postgraduate,Low,7.8,3.1,High,Average,11,Pass,Good
694,Male,22,College-2,73,3.9,3.59,100,54,72,76,Medium,Yes,No,Graduate,Medium,6.0,7.4,High,Excellent,12,Pass,Good
695,Male,18,11,71,6.5,3.19,100,62,89,87,High,No,No,Graduate,High,7.6,5.0,Low,Good,13,Pass,Excellent
696,Female,18,9,80,6.0,3.61,100,64,83,85,Low,No,Yes,Postgraduate,Low,7.5,2.1,Medium,Good,10,Pass,Excellent
697,Female,20,12,96,4.6,2.95,100,72,82,85,Medium,Yes,No,High School,Medium,8.4,4.6,Medium,Poor,6,Pass,Excellent
698,Female,22,12,92,7.6,2.45,100,93,91,100,High,Yes,Yes,Postgraduate,Low,6.0,3.2,Medium,Poor,7,Pass,Excellent
699,Female,18,10,75,5.4,2.54,100,71,79,90,Medium,Yes,Yes,High School,High,8.8,4.6,High,Excellent,12,Pass,Excellent
700,Female,15,10,61,1.3,2.18,64,35,45,43,Low,Yes,No,Graduate,Low,7.2,4.9,High,Poor,15,Fail,Poor
701,Male,22,11,70,6.5,2.88,100,63,76,81,High,Yes,No,High School,High,4.8,4.3,Medium,Average,13,Pass,Good
702,Male,20,College-1,87,6.6,2.0,95,85,90,91,Medium,No,No,Graduate,High,7.3,4.2,Low,Good,9,Pass,Excellent
703,Female,22,10,67,5.7,2.22,83,67,67,75,Low,Yes,No,Postgraduate,Medium,6.8,5.4,Low,Excellent,14,Pass,Good
704,Female,20,College-1,71,5.5,3.56,100,59,80,79,Medium,Yes,No,Postgraduate,Low,6.9,2.3,High,Average,13,Pass,Good
705,Female,21,College-2,70,2.1,3.7,100,40,72,66,Medium,Yes,No,Graduate,Medium,7.9,6.5,Medium,Average,13,Pass,Average
706,Male,21,9,69,3.3,2.9,97,59,82,76,Medium,No,Yes,Graduate,Medium,6.1,6.2,Low,Average,13,Pass,Good
707,Male,18,College-1,63,5.6,2.05,86,61,75,73,High,No,No,High School,Low,5.7,6.8,Low,Average,15,Pass,Good
708,Female,21,9,70,6.1,3.9,100,67,90,89,Low,Yes,No,Graduate,High,8.7,5.2,Medium,Excellent,13,Pass,Excellent
709,Male,16,12,68,1.8,2.65,85,37,57,60,Low,No,No,Postgraduate,High,5.1,6.2,Medium,Poor,13,Pass,Average
710,Male,20,12,58,6.4,3.42,100,62,87,86,Low,No,No,Graduate,Low,4.8,6.5,High,Good,16,Pass,Excellent
711,Male,20,9,66,5.2,3.28,100,61,87,87,High,No,Yes,Postgraduate,Medium,8.7,2.0,High,Excellent,14,Pass,Excellent
712,Male,22,College-1,68,5.0,3.13,100,52,73,74,High,Yes,Yes,Postgraduate,Medium,7.4,6.1,Medium,Excellent,13,Pass,Good
713,Female,15,12,78,7.2,2.66,100,85,94,94,High,No,Yes,Postgraduate,Medium,9.0,2.1,Low,Poor,11,Pass,Excellent
714,Female,17,10,64,3.3,3.17,98,55,82,77,Low,Yes,No,High School,Low,5.2,7.0,Low,Poor,14,Pass,Good
715,Male,21,11,99,1.9,3.74,100,55,75,78,Low,Yes,No,High School,Low,6.1,1.5,Medium,Poor,6,Pass,Good
716,Male,18,12,74,1.2,2.42,67,47,63,55,High,Yes,Yes,High School,High,8.4,7.0,High,Poor,12,Pass,Average
717,Male,20,12,60,6.3,3.21,100,64,80,85,Medium,Yes,No,High School,Low,5.0,4.4,Medium,Excellent,15,Pass,Excellent
718,Male,21,12,75,7.7,2.62,99,79,90,96,Low,No,No,High School,Low,5.0,3.5,Low,Average,12,Pass,Excellent
719,Female,21,10,86,1.1,2.94,81,39,58,60,Medium,Yes,Yes,Postgraduate,Low,6.8,2.0,High,Average,9,Pass,Average
720,Female,15,9,73,7.2,3.0,100,74,90,92,Medium,Yes,No,High School,High,5.0,2.1,Low,Excellent,12,Pass,Excellent
721,Male,21,9,52,4.8,2.34,76,40,61,63,Low,No,No,Graduate,High,7.9,6.1,Medium,Average,17,Pass,Average
722,Female,16,12,88,6.7,3.8,100,71,87,88,Medium,Yes,Yes,High School,High,4.5,4.3,Low,Average,8,Pass,Excellent
723,Female,17,College-2,64,5.6,2.56,100,53,75,81,High,No,No,Postgraduate,Medium,7.8,6.0,High,Good,14,Pass,Good
724,Male,15,10,98,7.3,2.29,95,87,84,98,High,Yes,Yes,High School,Medium,6.0,3.6,Medium,Poor,6,Pass,Excellent
725,Female,19,College-1,86,4.4,3.74,100,67,89,88,Medium,Yes,No,Postgraduate,High,8.4,2.3,Medium,Good,9,Pass,Excellent
726,Male,20,12,61,2.8,3.1,87,44,73,66,High,Yes,Yes,High School,Low,8.1,4.4,Medium,Poor,15,Pass,Average
727,Male,21,College-1,57,4.9,2.61,94,60,71,72,Low,Yes,Yes,High School,Low,5.8,7.1,High,Good,16,Pass,Good
728,Male,20,10,83,5.2,3.05,100,68,83,83,Low,Yes,Yes,Postgraduate,Low,5.2,7.0,High,Excellent,10,Pass,Good
729,Female,17,College-2,62,2.9,2.59,90,48,76,66,Medium,Yes,Yes,Graduate,High,8.8,7.6,High,Good,15,Pass,Average
730,Male,18,12,63,7.5,2.12,95,63,75,81,Low,No,No,Postgraduate,Low,7.3,7.7,Low,Good,15,Pass,Good
731,Male,19,11,54,2.6,2.8,93,35,62,60,Low,Yes,No,Postgraduate,Low,8.8,2.0,High,Excellent,17,Pass,Average
732,Female,15,12,64,5.6,3.49,100,54,71,78,Medium,Yes,No,Graduate,High,5.8,1.9,Low,Excellent,14,Pass,Good
733,Female,21,9,98,3.0,3.46,100,65,81,81,High,Yes,No,Postgraduate,High,6.9,1.6,Medium,Good,6,Pass,Good
734,Male,22,10,90,4.6,3.97,100,58,74,80,High,No,No,High School,High,6.4,6.9,Medium,Excellent,8,Pass,Good
735,Male,18,11,88,4.6,3.2,100,77,83,92,High,No,No,Postgraduate,High,8.7,3.7,Low,Good,8,Pass,Excellent
736,Male,17,9,91,6.5,3.05,100,88,99,100,High,No,Yes,Graduate,Medium,8.3,5.0,Low,Excellent,8,Pass,Excellent
737,Female,19,10,66,3.5,3.93,100,54,70,74,Low,No,No,Graduate,Low,7.6,3.5,Medium,Poor,14,Pass,Good
738,Female,20,College-1,71,3.5,3.93,100,52,71,78,Medium,Yes,No,High School,Medium,6.9,6.6,High,Excellent,13,Pass,Good
739,Male,19,College-1,72,3.4,2.32,77,53,57,68,High,No,Yes,Graduate,High,6.5,3.5,High,Poor,12,Pass,Average
740,Female,21,10,62,1.7,3.33,93,35,66,59,Medium,Yes,No,Postgraduate,High,7.7,7.4,Low,Good,15,Pass,Average
741,Male,18,10,64,4.1,3.34,100,42,78,75,Medium,Yes,Yes,High School,Medium,4.7,4.8,Low,Poor,14,Pass,Good
742,Female,21,College-2,89,4.4,4.0,100,69,81,82,Medium,No,No,Graduate,Medium,6.5,4.9,Medium,Average,8,Pass,Good
743,Female,20,9,70,4.8,2.64,91,66,74,82,High,Yes,No,Postgraduate,High,4.8,5.9,High,Average,13,Pass,Good
744,Male,22,College-1,79,2.9,2.88,100,57,72,79,High,Yes,No,Graduate,High,8.3,4.2,Low,Poor,11,Pass,Good
745,Male,21,10,93,3.5,2.5,82,73,84,78,High,No,No,Postgraduate,High,8.8,2.9,High,Good,7,Pass,Good
746,Male,20,College-1,71,2.6,2.81,96,56,78,79,Low,Yes,Yes,Postgraduate,Medium,8.1,4.6,High,Average,13,Pass,Good
747,Female,16,9,96,2.4,3.98,100,50,82,82,Medium,No,No,Graduate,High,8.9,6.4,Medium,Average,6,Pass,Good
748,Female,21,10,71,2.3,2.86,87,52,63,69,Low,No,Yes,Graduate,Medium,5.9,2.2,Low,Good,13,Pass,Average
749,Male,15,11,51,7.2,3.37,100,56,70,77,Medium,No,Yes,Postgraduate,High,4.8,4.9,Medium,Poor,18,Pass,Good
750,Male,22,College-2,61,2.3,2.44,79,35,53,55,Low,Yes,No,High School,High,7.3,2.3,Low,Poor,15,Pass,Average
751,Male,20,12,69,7.5,3.18,100,65,89,91,High,No,No,High School,High,5.0,5.8,High,Poor,13,Pass,Excellent
752,Female,16,College-1,71,2.7,2.98,96,40,71,73,Low,No,No,Postgraduate,High,5.1,7.7,Low,Good,13,Pass,Good
753,Female,15,12,70,1.9,3.25,98,47,76,74,Low,No,No,Postgraduate,Medium,7.9,3.1,Medium,Excellent,13,Pass,Good
754,Male,20,College-2,100,6.4,3.06,100,78,83,94,Low,Yes,Yes,Graduate,Medium,8.0,5.9,Low,Good,5,Pass,Excellent
755,Male,18,9,84,1.4,3.48,100,44,80,72,Medium,Yes,Yes,Postgraduate,Medium,8.2,7.1,Low,Average,9,Pass,Good
756,Male,20,10,81,2.4,3.84,100,45,73,77,Medium,Yes,No,Graduate,Low,7.4,1.1,Low,Average,10,Pass,Good
757,Female,21,College-2,88,2.7,2.85,100,67,84,84,Low,No,No,Graduate,Medium,7.5,7.2,Low,Excellent,8,Pass,Good
758,Male,16,10,66,5.2,3.39,100,53,75,82,Medium,Yes,Yes,Postgraduate,Medium,7.3,3.8,Low,Good,14,Pass,Good
759,Female,18,9,93,6.0,2.57,100,74,82,94,High,No,Yes,High School,High,7.6,3.0,Low,Excellent,7,Pass,Excellent
760,Female,17,12,80,1.8,2.37,71,46,63,59,High,Yes,Yes,High School,High,5.5,6.8,Medium,Poor,10,Pass,Average
761,Male,21,12,86,1.1,2.5,75,49,68,64,Low,No,Yes,High School,Low,5.2,7.0,High,Average,9,Pass,Average
762,Male,17,College-1,71,5.6,2.14,84,72,86,82,Medium,Yes,Yes,Postgraduate,Low,6.5,7.1,Medium,Poor,13,Pass,Good
763,Male,15,12,89,6.0,2.08,85,71,70,80,High,Yes,Yes,Postgraduate,Low,7.8,3.3,High,Poor,8,Pass,Good
764,Male,22,College-1,51,5.5,3.29,100,62,85,79,Medium,No,No,Graduate,Low,8.6,7.6,Medium,Good,18,Pass,Good
765,Female,19,10,64,2.0,3.93,100,37,71,72,Low,No,No,Postgraduate,High,7.4,2.2,Low,Excellent,14,Pass,Good
766,Female,22,11,58,6.9,2.84,100,67,89,85,Medium,No,No,High School,High,6.1,7.6,High,Average,16,Pass,Excellent
767,Female,20,College-2,65,2.5,3.75,100,46,79,69,Medium,Yes,No,High School,Medium,5.4,2.4,Low,Excellent,14,Pass,Average
768,Male,21,College-1,69,7.3,2.82,100,67,85,85,Medium,Yes,No,High School,High,8.8,7.1,Low,Excellent,13,Pass,Excellent
769,Male,21,11,86,5.7,3.13,100,81,94,95,Medium,Yes,Yes,Graduate,Medium,5.7,6.2,High,Poor,9,Pass,Excellent
770,Female,18,College-2,93,1.7,3.84,100,55,71,75,Low,Yes,No,High School,Medium,4.8,1.2,High,Good,7,Pass,Good
771,Male,21,9,87,7.3,2.35,100,73,83,95,High,No,Yes,Postgraduate,High,6.5,3.4,High,Excellent,9,Pass,Excellent
772,Male,21,12,94,7.9,3.95,100,90,90,100,Medium,No,Yes,High School,High,7.6,7.3,High,Good,7,Pass,Excellent
773,Female,16,10,78,5.1,3.94,100,65,84,88,Low,No,No,High School,Low,5.3,7.3,High,Average,11,Pass,Excellent
774,Male,20,11,90,3.2,2.17,92,66,71,76,Low,No,Yes,Graduate,Medium,7.7,7.6,Low,Poor,8,Pass,Good
775,Female,15,10,91,2.7,2.87,87,57,78,78,High,Yes,Yes,Graduate,Medium,5.9,4.1,Low,Excellent,8,Pass,Good
776,Female,17,11,74,3.7,2.75,94,61,82,77,High,No,Yes,Graduate,Medium,7.6,2.9,Medium,Poor,12,Pass,Good
777,Male,18,9,78,7.4,2.64,100,69,76,91,Low,No,Yes,High School,High,4.9,5.7,Low,Poor,11,Pass,Excellent
778,Female,16,College-1,54,1.1,3.74,100,35,63,59,Low,Yes,Yes,High School,High,4.6,6.6,Low,Average,17,Pass,Average
779,Female,18,12,55,6.0,3.37,100,48,68,74,Low,No,Yes,Graduate,Medium,4.9,4.0,High,Poor,17,Pass,Good
780,Male,18,10,78,2.3,2.4,75,57,64,68,Medium,Yes,Yes,Graduate,High,4.5,2.2,High,Good,11,Pass,Average
781,Female,19,10,88,3.9,2.5,93,60,84,85,Low,Yes,Yes,Graduate,Medium,7.4,2.5,High,Poor,8,Pass,Excellent
782,Female,16,College-1,89,6.3,3.8,100,66,77,87,Medium,No,No,Graduate,High,6.4,5.7,Medium,Good,8,Pass,Excellent
783,Female,21,12,81,3.1,3.49,100,64,79,85,Medium,No,No,Graduate,Medium,6.7,4.8,Medium,Average,10,Pass,Excellent
784,Female,15,12,59,6.2,3.75,100,62,77,81,High,Yes,Yes,Postgraduate,Low,6.2,7.6,Low,Poor,16,Pass,Good
785,Female,18,10,51,3.7,2.04,74,39,57,54,Medium,No,No,Graduate,Low,5.2,3.4,Medium,Poor,18,Pass,Poor
786,Female,18,12,72,7.7,2.95,100,68,83,86,Medium,Yes,No,Postgraduate,Low,4.8,3.3,Medium,Good,12,Pass,Excellent
787,Female,16,9,93,5.3,3.06,100,74,83,89,Medium,No,No,High School,Low,7.3,5.2,Medium,Average,7,Pass,Excellent
788,Male,20,College-2,70,5.4,2.56,95,70,84,85,High,Yes,Yes,High School,Medium,8.6,4.3,High,Excellent,13,Pass,Excellent
789,Female,19,9,51,3.2,2.3,76,35,63,54,Medium,No,Yes,Graduate,High,8.5,3.7,Low,Good,18,Pass,Poor
790,Female,22,11,99,1.4,2.65,97,61,75,77,High,Yes,Yes,Postgraduate,High,5.6,5.4,Low,Good,6,Pass,Good
791,Female,19,10,96,1.4,3.01,92,57,79,79,Low,No,Yes,High School,High,8.5,4.7,High,Excellent,6,Pass,Good
792,Female,16,11,55,3.6,2.89,93,52,69,67,Medium,No,Yes,Postgraduate,High,8.0,8.0,Medium,Good,17,Pass,Average
793,Male,20,College-2,60,5.1,2.1,81,62,78,73,Medium,Yes,No,Postgraduate,Medium,6.0,1.1,Medium,Average,15,Pass,Good
794,Male,22,9,70,5.3,2.65,100,52,84,85,Low,Yes,Yes,High School,High,7.9,5.5,Low,Average,13,Pass,Excellent
795,Male,21,College-2,55,6.3,2.83,93,64,82,77,Medium,Yes,Yes,High School,Medium,8.9,3.4,Low,Poor,17,Pass,Good
796,Female,15,9,98,7.4,3.29,100,76,81,96,Low,Yes,Yes,High School,High,5.7,2.7,Medium,Good,6,Pass,Excellent
797,Male,15,10,74,6.3,3.53,100,58,84,81,High,Yes,Yes,High School,High,7.5,1.1,Medium,Poor,12,Pass,Good
798,Male,19,11,72,5.9,3.8,100,67,81,88,High,No,No,High School,Low,7.1,3.6,High,Good,12,Pass,Excellent
799,Female,18,10,71,2.4,3.3,100,37,74,66,Low,Yes,No,High School,High,8.5,3.7,Low,Average,13,Pass,Average
800,Male,18,College-1,98,5.0,3.35,100,73,89,88,Medium,Yes,Yes,Graduate,Low,7.9,6.8,Low,Average,6,Pass,Excellent
801,Female,19,College-2,71,2.4,2.65,87,56,68,66,Low,Yes,Yes,High School,Low,8.8,3.7,High,Poor,13,Pass,Average
802,Female,18,College-2,50,7.6,2.76,100,58,74,87,Low,No,No,High School,Medium,8.7,3.1,Medium,Poor,18,Pass,Excellent
803,Male,15,9,69,6.4,2.53,94,59,68,77,Low,Yes,No,Postgraduate,High,8.5,3.1,High,Good,13,Pass,Good
804,Male,15,12,67,1.2,3.38,91,35,67,60,Medium,No,No,High School,Low,7.0,1.4,High,Poor,14,Pass,Average
805,Female,18,10,92,1.4,2.56,89,49,69,73,High,No,Yes,Postgraduate,Low,8.0,3.0,High,Excellent,7,Pass,Good
806,Female,22,12,85,7.7,3.7,100,80,93,100,High,Yes,No,Postgraduate,Medium,6.7,2.6,High,Average,9,Pass,Excellent
807,Female,21,11,70,6.1,2.8,100,66,84,89,Medium,Yes,No,High School,Medium,6.1,2.2,Medium,Excellent,13,Pass,Excellent
808,Male,17,10,78,6.3,2.09,96,80,84,89,High,No,Yes,Graduate,Low,8.4,2.1,High,Poor,11,Pass,Excellent
809,Male,20,College-2,83,1.7,3.33,95,47,73,68,Medium,No,No,High School,High,4.5,7.5,Medium,Excellent,10,Pass,Average
810,Female,17,9,94,6.3,2.91,100,68,92,96,High,No,Yes,Graduate,Medium,5.0,5.5,Low,Poor,7,Pass,Excellent
811,Male,21,11,62,1.2,2.37,64,35,49,45,High,No,Yes,Postgraduate,High,4.6,1.8,Medium,Good,15,Fail,Poor
812,Male,22,11,74,3.6,3.84,100,64,75,77,Medium,Yes,No,Postgraduate,Medium,5.9,5.3,Medium,Poor,12,Pass,Good
813,Female,16,12,77,5.8,3.94,100,57,82,88,Medium,Yes,Yes,High School,High,7.3,3.5,High,Poor,11,Pass,Excellent
814,Female,16,9,79,3.7,2.94,99,57,84,81,High,Yes,Yes,Postgraduate,Medium,6.0,5.2,Low,Average,11,Pass,Good
815,Female,17,12,79,2.9,3.07,89,52,65,66,Medium,Yes,Yes,Graduate,High,7.0,6.6,Medium,Excellent,11,Pass,Average
816,Female,15,11,57,5.8,2.96,99,47,77,79,Low,Yes,No,Postgraduate,High,8.9,1.5,Medium,Average,16,Pass,Good
817,Female,20,College-2,95,4.1,2.2,82,62,64,72,Medium,Yes,No,Postgraduate,High,7.7,7.4,Low,Excellent,7,Pass,Good
818,Female,18,10,80,1.2,2.13,63,44,56,51,Low,Yes,Yes,High School,High,6.5,5.9,Low,Average,10,Pass,Poor
819,Male,18,10,78,5.6,2.96,100,75,92,94,Low,No,Yes,Postgraduate,High,7.0,4.9,Medium,Poor,11,Pass,Excellent
820,Male,20,10,73,1.4,3.33,100,49,66,70,Medium,Yes,Yes,Postgraduate,Medium,8.0,1.8,Medium,Excellent,12,Pass,Good
821,Male,16,12,63,1.7,3.08,82,35,54,53,High,Yes,Yes,High School,High,6.2,5.4,Medium,Good,15,Pass,Poor
822,Female,21,12,64,6.8,2.09,89,68,70,82,High,Yes,Yes,Graduate,High,6.3,6.3,High,Excellent,14,Pass,Good
823,Female,16,College-1,91,7.1,3.04,100,73,91,99,Low,Yes,Yes,Graduate,Medium,7.4,2.7,Medium,Good,8,Pass,Excellent
824,Female,21,College-2,79,5.6,3.67,100,67,84,84,High,Yes,No,Graduate,Low,8.9,3.4,High,Excellent,11,Pass,Good
825,Female,20,10,71,4.7,3.26,100,58,87,83,High,Yes,No,Graduate,Low,7.3,1.4,Medium,Excellent,13,Pass,Good
826,Female,18,12,67,2.8,3.54,99,46,70,70,High,Yes,Yes,Postgraduate,High,6.4,5.6,Medium,Average,14,Pass,Good
827,Female,19,College-1,63,5.2,3.77,100,58,78,78,Medium,No,Yes,Graduate,High,7.4,3.4,Low,Good,15,Pass,Good
828,Female,21,10,57,7.8,2.01,85,65,82,79,Medium,Yes,No,Postgraduate,Medium,8.2,7.9,High,Poor,16,Pass,Good
829,Male,19,10,80,4.1,2.25,76,51,57,66,Low,No,Yes,High School,High,5.9,2.0,High,Poor,10,Pass,Average
830,Female,18,10,50,1.8,2.57,73,35,53,52,Low,No,Yes,High School,Medium,8.9,6.0,Low,Poor,18,Pass,Poor
831,Female,18,10,60,1.6,2.54,82,35,53,57,Medium,Yes,Yes,High School,Medium,7.8,7.9,Low,Poor,15,Pass,Average
